date,zscore,exposure,ret,equity
2024-08-28,-0.6568753052281701,0.5519170460020952,0.0004648680881710351,100380.87456228721
2024-08-29,-0.5856756602714093,0.5597369870245609,0.00019749526078756025,100400.69930928697
2024-08-30,-0.38348858120278334,0.0,0.0006634356292349259,100467.30871040885
2024-09-03,0.4472188871250906,0.0,0.0,100467.30871040885
2024-09-04,1.0331902122992482,0.0,0.0,100467.30871040885
2024-09-05,1.473212971142541,0.0,0.0,100467.30871040885
2024-09-06,1.9291767561327968,0.0,0.0,100467.30871040885
2024-09-09,2.0030016150778716,-0.6041016548476064,0.0,100467.30871040885
2024-09-10,1.8434910289826902,-0.6027337714458283,0.0014141969218850162,100609.38926913719
2024-09-11,1.3930675825037904,-0.6084527518971136,0.002630235541845483,100874.01566063623
2024-09-12,1.0504576853562475,-0.8838833872415814,0.0011787988259029346,100992.9258318611
2024-09-13,1.3876056914938073,-0.8771709245932524,-0.0022945945648483517,100761.18801315919
2024-09-16,1.506318466875684,-0.8795148221919653,-0.0012512436125792106,100635.11122026182
2024-09-17,1.2096878816669412,-0.8807070821846745,0.0013191856965010973,100767.8676195494
2024-09-18,1.2471915688009982,-0.9206006468300557,-0.0007152337807099525,100695.79503661781
2024-09-19,0.5186017168591803,-0.944054294405993,0.003997429731712391,101098.31940155561
2024-09-20,0.37892376623059815,0.0,7.05665025556285e-05,101105.45355637002
2024-09-23,0.7607756363354953,0.0,0.0,101105.45355637002
2024-09-24,-2.2770568554010167,0.4552948227645891,0.0,101105.45355637002
2024-09-25,-2.9652566881134064,0.43443535410980477,-0.00789520517405819,100307.20525632626
2024-09-26,-2.4036347980652173,0.4330653650337945,0.001923347167100999,100500.13083539584
2024-09-27,-1.7787155371467467,0.4272035437867638,0.003946893528264981,100896.79415137984
2024-09-30,-1.7104844576783649,0.42779945459294866,-0.000562413682467221,100840.04841383203
2024-10-01,-1.381705523516496,0.42538265451518276,0.002196581442896576,101061.55179287863
2024-10-02,-1.3304246787461775,0.42578783119115077,-0.0002675670839412575,101034.51104816682
2024-10-03,-1.2188408869413623,0.42685202588941595,0.00035059110318153865,101069.93284885462
2024-10-04,-1.2311416070722563,0.42711258005367214,-0.000819548076731924,100987.10117977292
2024-10-07,-1.2524066058056758,0.42842240227816647,-0.001026553124200327,100883.43255555289
2024-10-08,-1.4955081820802072,0.4244015405713993,-0.003734453983674577,100506.68801895906
2024-10-09,-1.400465714964193,0.4250199162050954,-1.9763130508654394e-05,100504.70169216674
2024-10-10,-1.0771452926349316,0.4209133395649756,0.0029043871225980264,100796.60625352203
2024-10-11,-1.3074892869530097,0.4173382437378318,-0.0036009175385159306,100433.64598624085
2024-10-14,-1.172276572929333,0.4178328184246955,0.0006835583607938021,100502.29824465975
2024-10-15,-1.327417832334466,0.4288631637323896,-0.0030438212733189846,100196.3872112452
2024-10-16,-0.6309659823547952,0.404616305601485,0.0078073602625433145,100978.65650320868
2024-10-17,-0.13924661954504564,0.0,0.004792956987916827,101462.64286052618
2024-10-18,-0.274348297157926,0.0,0.0,101462.64286052618
2024-10-21,-0.6987690360240802,0.0,0.0,101462.64286052618
2024-10-22,-0.7999814285176245,0.0,0.0,101462.64286052618
2024-10-23,-0.9793262551019193,0.0,0.0,101462.64286052618
2024-10-24,-0.7192804508160181,0.0,0.0,101462.64286052618
